Name,Type,Lat,Long,Pop,City,State,Country,ZIP,URL,URL_muni,Stimulus,Gig,PPP,Open Access,Cooperative Type,10 Gig
EPB Fiber Optics,fiber,35.10584,-85.297839,11765,Red Bank,TN,US,37415,http://www.epb.net/,http://www.muninetworks.org/tags-135,,Y,,,,Y
EPB Fiber Optics,fiber,35.037,-85.248074,402,Ridgeside,TN,US,37411,http://www.epb.net/,http://www.muninetworks.org/tags-135,,Y,,,,Y
EPB Fiber Optics,fiber,35.122272,-85.345325,7253,Signal Mountain,TN,US,3733,http://www.epb.net/,http://www.muninetworks.org/tags-135,,Y,,,,Y
Eastern Shore of Virginia ,fiber,37.662,-75.83,130,Harborton,VA,US,23389,https://esvba.com,https://muninetworks.org/tags/esvba,,Y,,Y,,
FairlawnGig,fiber,41.128,-81.610,"7,500",Fairlawn,OH,US,44313,http://www.fairlawngig.net/,https://muninetworks.org/tags/tags/fairlawn-oh,N,Y,,,,
FiberNET,fiber,36.215,-83.296,"28,000",Morristown,TN,US,37814,http://www.morristownutilities.org/,http://www.muninetworks.org/tags-121,,Y,,,,
Fibrant,fiber,35.67096,-80.474167,31041,Salisbury,NC,US,28144,http://www.fibrant.com/,http://www.muninetworks.org/tags-95,,Y,,,,
Franklin PUD Broadband,fiber,46.244,-119.099,"60,000",Pasco,WA,US,99301,http://www.franklinpud.com/broadband/about-broadband.html,,,Y,,Y,,
Grant PUD,fiber,46.679,-119.917,"1,100",Desert Aire,WA,US,99349,http://www.gcpud.org,,,Y,,Y,,
Grant PUD,fiber,47.941,-119.003,950,Grand Coulee,WA,US,99133,http://www.gcpud.org,,,Y,,Y,,
Grant PUD,fiber,47.302,-119.482,"90,000",Grant County,WA,US,98823,http://www.gcpud.org,,,Y,,Y,,
Grant PUD,fiber,47.690,-119.108,150,Hartline,WA,US,99135,http://www.gcpud.org,,,Y,,Y,,
Grant PUD,fiber,46.738,-119.903,"3,200",Mattawa,WA,US,99349,http://www.gcpud.org,,,Y,,Y,,
Grant PUD,fiber,47.234,-119.853,"6,200",Quincy,WA,US,98848,http://www.gcpud.org,,,Y,,Y,,
Grant PUD,fiber,46.901,-119.631,"2,000",Royal City,WA,US,99357,http://www.gcpud.org,,,Y,,Y,,
Grant PUD,fiber,47.389,-119.491,"1,900",Soap Lake,WA,US,98851,http://www.gcpud.org,,,Y,,Y,,
Grant PUD,fiber,46.9678,-119.040,"2,600",Warden,WA,US,98857,http://www.gcpud.org,,,Y,,Y,,
Grant PUD,fiber,47.423,-119.121,250,Wilson Creek,WA,US,98860,http://www.gcpud.org,,,Y,,Y,,
Greenlight,fiber,35.727,-77.923,"50,000",Wilson,NC,US,27894,http://www.greenlightnc.com,http://www.muninetworks.org/tags-106,,Y,,,,
Greenlight (City of Wilson),fiber,35.788,-77.638,"1,400",Pine Tops,NC,US,27864,http://www.greenlightnc.com,http://www.muninetworks.org/tags-106,,Y,,,,
Harlan Municipal Utilities,fiber,41.65303,-95.325537,4895,Harlan,IA,US,51537,http://www.harlannet.com,http://www.muninetworks.org/tags-79,,,,,,
Highland Communication Services,fiber,38.773,-89.617,10000,Highland,IL,US,62249,http://www.highlandcommunicationservices.com/,,,,,,,
Hometown Utilicom,fiber,40.52091,-75.77827,5102,Kutztown,PA,US,19530,http://www.hometownutilicom.org/,http://www.muninetworks.org/tags-84,,,,,,
Jackson Energy Authority,fiber,35.634,-88.829,63732,Jackson,TN,US,38305,http://www.jaxenergy.com/,http://www.muninetworks.org/tags-115,,Y,,,,
Lafayette Utilities System,fiber,30.21525,-92.02949,114915,Lafayette,LA,US,70501,http://lusfiber.com/,http://www.muninetworks.org/tags-108,,Y,,,,Y
Lake Connections,fiber,47.638,-91.483,"11,000",Lake County,MN,US,55616,http://www.lakeconnections.com/,http://www.muninetworks.org/tags-208,Y,,,,,
Lake Connections,fiber,47.023,-91.671,"3,700",Two Harbors,MN,US,56616,http://www.lakeconnections.com/,http://muninetworks.org/tags-208,Y,,,,,
Lake Connections,fiber,47.294,-91.257,"1,900",Silver Bay,MN,US,55614,http://www.lakeconnections.com/,http://www.muninetworks.org/tags-208,Y,,,,,
Lenox,fiber,40.88055,-94.554605,1248,Lenox,IA,US,50851,http://www.lenoxutilities.com/internet.html,"https://muninetworks.org/tags/tags/lennox-ia
",,,,,,
